district_id,population,pre_dissim,post_dissim,dissim_change,pre_times,post_times,times_change
1200390,118731,0.5802013408402744,0.5586201434134122,-0.037196048867462764,3.598905337384537,6.938776186233523,3.3398708488489857
3200060,90639,0.4706081295675151,0.4494868802871082,-0.04488075737199254,4.039635381133383,8.131567633713438,4.091932252580055
1200180,79683,0.4355405849063846,0.346050866485643,-0.2054681504364894,4.788574976122254,8.39527459407832,3.606699617956065
5101260,76207,0.3815533526273068,0.2766320465085714,-0.2749846263864971,4.769566112608566,8.693121693121693,3.923555580513127
1201440,75097,0.4188634827400285,0.3123742870446404,-0.2542336586583787,5.789272494887526,10.370054703476482,4.580782208588956
1200870,70505,0.4578814766315939,0.3572892497944407,-0.21969053558829268,5.911766133828546,11.241330760174295,5.329564626345749
1302550,68692,0.4343532834395399,0.3409544006212685,-0.21502976120882042,7.445365660123046,11.550899476075566,4.105533815952521
1201500,67875,0.5213914274587688,0.4539657366448798,-0.12931875604959175,5.848848902501276,11.241584992343032,5.3927360898417565
4816230,65584,0.5493405752612518,0.5029072145062973,-0.08452563463543913,3.409139830448704,6.384647285345521,2.975507454896816
4218990,60969,0.5985576936684018,0.5286326718380212,-0.11682252616590501,2.240518246599007,4.518592096739366,2.278073850140359
2400480,59220,0.4699562177662502,0.3702221121420319,-0.21221999380764592,4.341061624190773,7.989814663060996,3.6487530388702236
3702970,55680,0.6401458646207493,0.5670209254042656,-0.11423168258660252,6.484033070374827,11.246206043588716,4.762172973213888
2400510,55187,0.4106164890137654,0.3499042300220175,-0.14785635895326313,4.924805249124275,8.371963716212683,3.4471584670884083
1500030,46535,0.5467354952960708,0.3797052794687326,-0.3055046128601678,4.761547233861985,15.324231333651586,10.562684099789601
2400120,44634,0.5270251909640704,0.4320231536219572,-0.18026090397752906,4.98579646734727,9.14477090422946,4.158974436882191
4816110,44517,0.4237661989066412,0.3701133626980636,-0.1266095227675242,5.253466739891536,8.717468707809891,3.4640019679183545
2400090,41600,0.6244477006386202,0.5477101880396779,-0.1228886142433757,2.4835812672176307,5.312475403384495,2.828894136166864
1200480,40780,0.4528536480480218,0.3633671246766832,-0.19760583525618242,5.707622777570559,9.828503046127066,4.120880268556508
1301290,39549,0.5349855470557185,0.4372051842966817,-0.18277197075167537,6.964273044572867,10.847720814022239,3.8834477694493716
4700148,38886,0.5530952453153855,0.5052581595141048,-0.08648977948454978,4.397097535886286,7.966783560106607,3.569686024220321
4833120,37401,0.3217507605214572,0.2768441049963763,-0.1395696950406621,4.64243990086741,8.243712515489467,3.6012726146220566
1201590,35801,0.3038311355020266,0.2447182458280384,-0.19455836735203175,7.063387667424817,14.768356709628506,7.704969042203689
4900030,35756,0.3651497909496471,0.2814058822302826,-0.22934124787959276,4.317841973002424,9.49510752329486,5.177265550292438
1301740,34644,0.7146106463699138,0.6388274454372382,-0.10604823944009202,6.269283992360915,9.91386775617545,3.6445837638145338
0634320,33772,0.6257090097723998,0.5724228946465442,-0.08516117603171222,3.223535746467111,6.12706753697721,2.9035317905100992
4808940,33136,0.6111369447036692,0.5460950518766811,-0.10642768922851807,4.552758430553137,7.397716060131174,2.844957629578037
1302280,32974,0.6500807240381938,0.5521377615602855,-0.15066276980111468,7.761733265769027,11.946263452536074,4.184530186767048
4819700,32704,0.5646691349519833,0.5078211765452496,-0.10067481094316905,3.1745129327376067,5.4519604267347495,2.277447493997143
5103130,32579,0.4710213377381487,0.4021756431294453,-0.1461625813796492,6.139625958234205,10.747661908538197,4.608035950303991
0614550,32256,0.409517690759223,0.3762081508602015,-0.0813384638823966,2.532845634189516,4.5553791409269895,2.0225335067374735
4900210,32185,0.3510630961633005,0.2666679761100896,-0.24039872312284769,3.8846008515918,7.296927783887432,3.412326932295632
4502310,31728,0.4078072337170058,0.2645100269959237,-0.35138466136312313,8.210646519560814,13.855267295597484,5.644620776036669
2102990,31574,0.4140474435801126,0.3180957650426876,-0.23174078242765342,6.199149088821926,10.936155832974602,4.737006744152676
2400060,31449,0.5093056967736931,0.4088287537822641,-0.19728218951392434,5.767870540890798,10.968920946729417,5.201050405838619
4825170,29549,0.3152886808340435,0.257988284498047,-0.18173946550957004,4.410133491155389,7.379705070033538,2.9695715788781483
1201560,29292,0.4130343406718009,0.3125439378271242,-0.24329793663458812,4.759433936290301,8.122191018969742,3.3627570826794417
5509600,28007,0.5921722234715675,0.5564569665771598,-0.06031227990571651,2.3670056946099853,4.763390279433187,2.396384584823202
3500060,27973,0.3945394734864392,0.3293909851598224,-0.1651253998767655,4.303994296259017,8.152432477772185,3.848438181513169
4900360,27159,0.3742185562861401,0.302786414107688,-0.19088348500770952,3.536924591645684,6.3577490477112795,2.8208244560655955
4703180,26944,0.4526802234740067,0.336538486063885,-0.2565646374361452,5.584120078674534,9.788350501716838,4.204230423042303
0622500,26706,0.6513303991988524,0.5796759691166138,-0.11001241485177843,2.652388317865815,5.489881249376309,2.837492931510494
5102250,26685,0.3413995300790295,0.2821852029864084,-0.17344583655084045,5.624193029059003,9.30869086908691,3.684497840027906
3701920,25728,0.5639627268162966,0.4342377457047343,-0.23002403340357364,6.913786698227964,12.07436630831443,5.160579610086464
0404970,25526,0.4489480038720708,0.3668003899354654,-0.1829780135519071,4.124105499897771,7.999199209432291,3.8750937095345197
0804800,25169,0.4549277234174232,0.4023810615159091,-0.11550551702319414,5.498987523678881,10.420801489320008,4.9218139656411255
0612330,24942,0.3730466769040541,0.3046802550252566,-0.18326506067866952,3.9530538177735,7.797746230349696,3.844692412576195
