district_id,population,pre_dissim,post_dissim,dissim_change,pre_times,post_times,times_change
1200390,118731,0.5368808273559377,0.5107345806352017,-0.0487002801897444,3.4547295214610467,6.631079987670494,3.1763504662094473
3200060,90639,0.4641999625237598,0.4399872446350277,-0.05216010306655889,3.9550104037631666,7.774048885542412,3.8190384817792458
1200180,79683,0.4222838587490906,0.3448717192508583,-0.1833177799585952,4.772139446036294,8.072562241324418,3.300422795288124
5101260,76207,0.4242354371949717,0.3242914146935639,-0.2355862187332436,4.839694051936143,9.025688799966654,4.185994748030511
1201440,75097,0.4165225038738562,0.3188020843329865,-0.23461017983908092,5.755079378424202,10.523376350414058,4.768296971989856
1200870,70505,0.469116668588721,0.343957865930773,-0.26679675022947413,5.838596811488378,11.330446026530364,5.491849215041986
1302550,68692,0.4292350971433687,0.3309811456607793,-0.22890474739015024,7.606999039742279,12.069614038348357,4.462614998606077
1201500,67875,0.5186505689692388,0.4492826426616149,-0.13374693957337222,5.798811863249293,10.760397764491087,4.961585901241794
4816230,65584,0.5404954350112197,0.503339214555774,-0.0687447442635188,3.3875982438603716,5.906851100527234,2.5192528566668626
4218990,60969,0.6104423368336978,0.5468404680033829,-0.10418980629720284,2.221052970080523,4.332256695222659,2.1112037251421367
2400480,59220,0.4723276266733757,0.3727284995949317,-0.2108687306307383,4.570963384346893,8.315078366223654,3.744114981876762
3702970,55680,0.5855071460554371,0.518291617570431,-0.11479881831987411,6.309683659380169,10.492568592872084,4.182884933491915
2400510,55187,0.4134089640041659,0.3137456894301004,-0.24107671398499522,4.619314064808631,7.952790090473011,3.33347602566438
1500030,46535,0.2911489831194883,0.2166035400308573,-0.25603882345705237,4.98601167946361,16.93592336253199,11.949911683068382
2400120,44634,0.5189337714480154,0.4329068777672883,-0.16577624817263398,4.593476324773638,8.719472069665034,4.125995744891395
4816110,44517,0.4094710542441633,0.357337334909435,-0.12731966959413335,5.192543333832859,8.72410959588391,3.5315662620510513
2400090,41600,0.608683156905464,0.5362312836232523,-0.11903052098657686,2.689647274393037,5.278737211788059,2.589089937395022
1200480,40780,0.4281868201723127,0.3508084585193219,-0.18071168473109905,5.966318986971161,10.24313668081784,4.276817693846679
1301290,39549,0.5452712570062835,0.4596139225278443,-0.15709123372599149,7.3069443559181595,10.713265132683198,3.4063207767650376
4700148,38886,0.5456404192287295,0.4943485537783431,-0.09400305337146435,4.740055052388564,8.163307709871376,3.4232526574828124
4833120,37401,0.3281775165506705,0.2514799241355808,-0.23370763854033746,4.527172395627551,8.353887791386803,3.826715395759252
1201590,35801,0.2992363346122146,0.2405130316208263,-0.19624389219808092,7.051157745109041,14.665666030748515,7.614508285639473
4900030,35756,0.3115653456457612,0.2396742031428449,-0.230741780199952,4.454398070610304,9.829887675576694,5.375489604966392
1301740,34644,0.6609359441086573,0.572179592790622,-0.1342888854951484,6.085031924968686,9.675353618672288,3.5903216937036015
0634320,33772,0.52134256764234,0.4766693169231371,-0.08568886082183566,3.071834205380265,6.074824269330374,3.002990063950108
4808940,33136,0.6025152377705635,0.533090982766027,-0.11522406513969882,4.613024311276848,7.6121339577371145,2.9991096464602665
1302280,32974,0.7202701109820691,0.626893859373402,-0.12964060313616374,7.328776652973397,11.655141089593114,4.326364436619717
4819700,32704,0.5302388935611653,0.4583446186252671,-0.1355884598601307,3.150135306019221,5.915493171471927,2.7653578654527062
5103130,32579,0.4186884792167181,0.3639384664123429,-0.1307655106890007,6.180899180454616,9.529222720478325,3.3483235400237095
0614550,32256,0.258584493527274,0.21669550258279,-0.16199343732135188,2.4917939776375513,4.19280139488542,1.7010074172478686
4900210,32185,0.3071865676492938,0.243311732124084,-0.2079349888701315,4.089714915734762,7.5294153935002885,3.4397004777655273
4502310,31728,0.4184663927122018,0.275353457869254,-0.3419938550271419,8.204900173970675,14.163920415320465,5.9590202413497915
2102990,31574,0.3942595178537914,0.3148243938009397,-0.20147928066586257,5.979660127553079,10.650418449449692,4.670758321896613
2400060,31449,0.4630642031769675,0.3792765122312658,-0.18094184428607382,5.593091690318512,12.04338536739199,6.4502936770734784
4825170,29549,0.4482295047374939,0.4154824922745997,-0.07305858297318582,4.790186961628818,7.6415573610023495,2.8513703993735313
1201560,29292,0.3795539202001323,0.285238982468275,-0.24848890424350414,4.5841634317244075,7.781485143680266,3.197321711955858
5509600,28007,0.575128206144053,0.5027917703686899,-0.12577445342203386,2.364318074966876,4.879127665940078,2.5148095909732016
3500060,27973,0.4126884509361546,0.3435782870469864,-0.16746328551815942,3.770172611001352,7.421555578662785,3.6513829676614327
4900360,27159,0.3579514138584556,0.2828897219002217,-0.2096979898727693,3.454475447955136,6.339318834632746,2.884843386677609
4703180,26944,0.4252245119425958,0.322080758510675,-0.2425630473669517,5.769315985798391,10.552977394274414,4.783661408476022
0622500,26706,0.4242811982538009,0.3914611155315656,-0.07735455367174353,2.4189539331983156,5.299400456488893,2.8804465232905776
5102250,26685,0.349297571720353,0.2862020490868042,-0.18063544594023961,5.7080311158798285,9.921112303290414,4.213081187410586
3701920,25728,0.4996856184750527,0.3487259607778189,-0.30210927054081427,7.29656274099372,12.634627813888583,5.338065072894863
0404970,25526,0.4336826349361648,0.3471460051025427,-0.19953907042268307,4.3280106021204245,7.970860838834434,3.6428502367140094
0804800,25169,0.4212931070605489,0.3749246361063468,-0.11006225873887358,5.3259155986041815,10.670055115285523,5.3441395166813415
0612330,24942,0.2271192948536048,0.1751167983158879,-0.22896556002094126,4.2760984900013606,7.88823742801433,3.612138938012969
